議員名,単語A,単語B,共起回数
いたいひとし,会計年度,司書,2
いたいひとし,会計年度,困難,2
いたいひとし,会計年度,図書館,4
いたいひとし,会計年度,国会,2
いたいひとし,会計年度,定数,2
いたいひとし,会計年度,常勤,4
いたいひとし,会計年度,政治的,2
いたいひとし,会計年度,教育,2
いたいひとし,会計年度,現実,2
いたいひとし,会計年度,職員,6
いたいひとし,会計年度,若手,2
いたいひとし,会計年度,退職,2
いたいひとし,区長,司書,2
いたいひとし,区長,困難,2
いたいひとし,区長,国会,2
いたいひとし,区長,定数,2
いたいひとし,区長,常勤,4
いたいひとし,区長,政治的,2
いたいひとし,区長,教育,2
いたいひとし,区長,現実,2
いたいひとし,区長,職員,8
いたいひとし,区長,若手,4
いたいひとし,区長,退職,4
いたいひとし,司書,困難,2
いたいひとし,司書,図書館,2
いたいひとし,司書,国会,2
いたいひとし,司書,定数,2
いたいひとし,司書,常勤,2
いたいひとし,司書,政治的,2
いたいひとし,司書,教育,2
いたいひとし,司書,現実,2
いたいひとし,司書,職員,2
いたいひとし,司書,若手,2
いたいひとし,司書,退職,2
いたいひとし,困難,図書館,2
いたいひとし,困難,国会,2
いたいひとし,困難,定数,2
いたいひとし,困難,常勤,2
いたいひとし,困難,政治的,2
いたいひとし,困難,教育,3
いたいひとし,困難,現実,2
いたいひとし,困難,職員,2
いたいひとし,困難,若手,2
いたいひとし,困難,退職,2
いたいひとし,図書館,国会,2
いたいひとし,図書館,定数,2
いたいひとし,図書館,常勤,4
いたいひとし,図書館,政治的,2
いたいひとし,図書館,教育,2
いたいひとし,図書館,現実,2
いたいひとし,図書館,職員,5
いたいひとし,図書館,若手,2
いたいひとし,図書館,退職,2
いたいひとし,国会,定数,2
いたいひとし,国会,常勤,2
いたいひとし,国会,政治的,2
いたいひとし,国会,教育,2
いたいひとし,国会,現実,2
いたいひとし,国会,職員,2
いたいひとし,国会,若手,2
いたいひとし,国会,退職,2
いたいひとし,定数,常勤,2
いたいひとし,定数,政治的,2
いたいひとし,定数,教育,2
いたいひとし,定数,現実,2
いたいひとし,定数,職員,2
いたいひとし,定数,若手,2
いたいひとし,定数,退職,2
いたいひとし,常勤,政治的,2
いたいひとし,常勤,教育,2
いたいひとし,常勤,現実,2
いたいひとし,常勤,職員,4
